,0,1,2,3,4,5,6
437,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,ごみ処理プラントやエネルギープラント等の電気・計装装備の計画～設計～手配業務をお任せ。◎1案件ずつ担当するので、案件に集中しやすい環境です。,《WEB面接も可》【必須条件】◆高専卒以上◆電気系の学科を卒業した方◆電気計装に関する基礎知識　※電気設備・計装設備の業務経験者は歓迎です！,本社／兵庫県尼崎市金楽寺町2丁目2番33号 ※転勤なし ※U・Iターン歓迎 ※1週間程度の出張が発…,月給22万310円〜（一律手当含む）＋諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…,490万円～700万円,https://tenshoku.mynavi.jp/jobinfo-276476-5-12-1/?ty=0&searchId=1275580528&pageNum=9&showNo=39
438,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,プラントのボイラや焼却炉等の詳細設計（メカニカルエンジニアリング）を中心として、見積計画や手配指示、改良開発、試運転といった業務を行います。,《WEB面接も可》【必須条件】◆高専卒以上◆機械系の学科を卒業した方◆機械図面・材料力学・構造力学に関する基礎的な知識をお持ちの方,兵庫県尼崎市金楽寺町2丁目2番33号,月給22万310円〜（一律手当含む）＋諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…,490万円～770万円,https://tenshoku.mynavi.jp/jobinfo-276476-5-23-1/?ty=0&searchId=1275580528&pageNum=9&showNo=40
439,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,各種プラントの施工監理業務（機械/電気）を担当します。元請けの立場として工事計画や見積もり、現地調査、受発注業務、施工監理業務をお任せします,《WEB面接も可》【必須条件】◆高専卒以上　◆機械・電気系の学科を卒業した方◆（プラント工事）または（電気工事）いずれかの施工管理経験がある方,本社／兵庫県尼崎市金楽寺町2丁目2番33号 ※転勤なし ※U・Iターン歓迎 ※全国への長期の出張が…,月給22万310円〜（一律手当含む）＋諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…,490万円～700万円,https://tenshoku.mynavi.jp/jobinfo-276476-5-14-1/?ty=0&searchId=1275580528&pageNum=9&showNo=41
440,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,国内外のエネルギープラント（バイオマス発電プラント）、産業廃棄物処理プラントの計画・設計・手配業務（プラントエンジニアリング業務）,《WEB面接も可》【必須条件】◆大卒以上◆機械・化学工学系の学科を卒業した方◆機械・化学工学に関する基礎的な知識をお持ちの方,本社／兵庫県尼崎市金楽寺町2丁目2番33号 ※案件によっては、長期の出張が発生する可能性がございま…,月給22万310円〜（一律手当含む）＋諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…,490万円～700万円,https://tenshoku.mynavi.jp/jobinfo-276476-5-20-1/?ty=0&searchId=1275580528&pageNum=9&showNo=42
441,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,主に官公庁/自治体向けのごみ処理施設（焼却施設、リサイクル施設）の設計、手配業務、および試運転業務といった一連のプラントエンジニアリング業務,《WEB面接も可》◆高専卒以上◆機械・化学工学系の学科を卒業した方◆機械設備に関する基礎知識をお持ちの方,北海道支店／札幌市中央区大通西五丁目11番地 ※転勤なし ※U・Iターン歓迎,月給22万310円〜（一律手当含む）＋諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…,490万円～770万円,https://tenshoku.mynavi.jp/jobinfo-276476-5-17-1/?ty=0&searchId=1275580528&pageNum=9&showNo=43
442,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,各種プラントの施工監理業務（機械/電気）を担当します。元請けの立場として工事計画や見積もり、現地調査、受発注業務、施工監理業務をお任せします,《WEB面接も可》【必須条件】◆高専卒以上　◆機械・電気系の学科を卒業した方◆（プラント工事）または（電気工事）いずれかの施工管理経験がある方,東京支社／東京都港区芝浦3丁目9番1号（芝浦ルネサイトタワー） 東北支店／宮城県仙台市青葉区一番町…,月給22万310円〜（一律手当含む）＋諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…,490万円～700万円,https://tenshoku.mynavi.jp/jobinfo-276476-5-13-1/?ty=0&searchId=1275580528&pageNum=9&showNo=44
443,株式会社セントグランデW | ◆年休125日以上◆残業月10時間以下◆有休は2時間単位で取得可,【港区・渋谷区・千代田区など都心の高額物件が中心】投資・事業用物件、住宅物件など不動産の仕入れ・企画からお客様に引き渡すまでをお任せします。,【学歴・性別不問】◆応募条件：不動産業界の経験者（仕入、売買仲介）※3年以上ある方歓迎！,【転勤なし！各線「恵比寿」駅より徒歩1分】 本社／東京都渋谷区恵比寿南1-5-2 恵比寿JEBL…,月給30万円〜40万円+インセンティブあり ※残業代に関しては1分単位で支給します。 ★年収1000万円越え…,400万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-276292-5-2-1/?ty=0&searchId=1275580528&pageNum=9&showNo=45
444,株式会社バンブーフィールド | 8～12日の長期休暇あり／完全週休2日／残業少なめ,【マネージャー採用】戸建分譲用地、収益ワンルーム・アパート、中古リノベーションなど、幅広い物件の仕入れ・商品化が可能！★稼げる仕組みあり！,【応募条件】戸建用地仕入れの営業経験をお持ちの方　～「稼ぎたい」という方は稼げる仕組みがある当社へ！～★マネージャー経験者歓迎！,□■西新宿駅直結／転勤なし／直行直帰も可能■□ 東京都新宿区西新宿6-5-1 新宿アイランドタワー…,月給35万円以上＋各種手当＋インセン （収益物件は利益の最高10％、建売分譲は最高16％をインセンティブ…,400万円～800万円,https://tenshoku.mynavi.jp/jobinfo-271033-5-1-1/?ty=0&searchId=1275580528&pageNum=9&showNo=46
445,株式会社フォーイット | 完週休2日(土日)/年間休日120日以上/充実の手当＆福利厚生,【上流工程から運用までサービス全体に携われる！】自社サービスに関するインフラ環境の構築、運用、保守運用などをお任せします。,《必須要件》■Linux系OSでの開発環境構築経験 ■ミドルウェア知識、ネットワーク構築、保守運用経験 ■中小規模のネットワーク構築経験など,＜転勤なし！「渋谷駅」から徒歩5分！＞ 本社／東京都渋谷区円山町3-6　E・スペースタワー9F,年俸制350万円〜800万円（一律手当含む） ※みなし残業代（45時間分、7万4000円以上/月）が含まれていま…,https://tenshoku.mynavi.jp/jobinfo-267361-5-4-1/?ty=0&searchId=1275580528&pageNum=9&showNo=47,
446,株式会社ミナモト建築工房 | 【 完全自由設計で理想の住まい・街づくりに貢献 】★インセン有,◎土地探し・資金計画・住宅提案～設計・進捗管理まで、お客様と「マンツーマン」で向き合い、住まいづくりを一貫してサポート。,【 スキルを最大評価！年収1000万円(入社8年目)の社員も 】◆必須：2級建築士の資格をお持ちの方 ★住宅業界業務経験必須,【転勤はありません／マイカー通勤可】 岡山県岡山市北区辰巳14-101 くらしのたねビル ※U・I…,◆月給49万円〜69万円（一律住宅手当含む） ※上記はあくまで最低保証額です。 　年齢、経験、能力を考…,https://tenshoku.mynavi.jp/jobinfo-282283-5-1-1/?ty=0&searchId=1275580528&pageNum=9&showNo=48,
447,株式会社フォーイット | 充実の手当＆福利厚生,【スキルアップできる環境！】YDN/GDN、SNS広告など多彩な広告運用を行い、パフォーマンスを向上させる役割をお任せします。,【応募資格】◎運用型広告での実務経験が一年以上ある方 ◎パフォーマンス向上のためにPDCAをまわせる方 ◎WEBマーケティング全般に関する基礎知識,＜転勤なし！「渋谷駅」から徒歩5分！＞ 本社／東京都渋谷区円山町3-6　E・スペースタワー9F,年俸制320万円〜600万円（一律手当含む） ※みなし残業代（45時間分、7万4000円以上/月）が含まれていま…,https://tenshoku.mynavi.jp/jobinfo-267361-5-6-1/?ty=0&searchId=1275580528&pageNum=9&showNo=49,
448,悠悠ホーム株式会社 | ◎完全週休2日制 ◎充実の諸手当・福利厚生欄もご覧ください！,【反響型営業で取り組みやすさ◎】お客様と共に夢のマイホームづくりをお手伝いする仕事です。▼充実の福利厚生完備！待遇面はぜひご確認ください！,【未経験歓迎】「好環境で働きたい」「給与をUPさせたい」その”想い”を当社で叶えてください！ ◎要普通自動車免許（AT限定可）◎第二新卒歓迎,福岡エリア ■マリナ通り展示場「CHIKA STYLE」「KAI」／福岡県福岡市西区愛宕4-23…,月給22.5万円〜35.2万円 +営業歩合給 + 諸手当 ※年齢、経験、能力を考慮の上優遇します。 ※上記は、固…,350万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-275391-5-2-1/?ty=0&searchId=1275580528&pageNum=9&showNo=50
449,住友不動産販売株式会社 | #6か月の配属先指導員制度 #資格取得支援あり #完全週休2日制,【完全反響型／飛び込み営業は一切ありません】不動産の売買仲介業務（マンション・戸建・宅地・事業用物件など）を担当します。,【20～30代活躍中／最大6カ月の研修制度・手当充実】◆未経験OK ◎営業・販売の経験をお持ちの方歓迎します！,【広島・岡山エリア募集／希望エリアでの勤務となります】 広島エリア 広島駅前営業センター／広島県広…,"月給240,000円以上 + 諸手当 + 賞与年2回 ※上記金額には月45時間分（62,500円〜）の固定残業代を含み、…",https://tenshoku.mynavi.jp/jobinfo-283760-5-1-1/?ty=0&searchId=1275580536&pageNum=10&showNo=1,
450,株式会社サンテックインターナショナル | ≪官公庁・自治体案件で安定≫年休120日★創業55年◎残業20時間,官公庁および特殊法人が発注者として行う土木工事≪道路・河川・砂防≫などの発注支援業務がメイン業務です。,■1級・2級土木施工管理技士、RCCM、技術士補（建設部門）のいずれかをお持ちの方　　　■土木施工管理経験者（1年以上）,◇本社：東京都江戸川区中葛西3-11-20 ◇各拠点 群馬県高崎市、栃木県宇都宮市、栃木県日光市、…,■月給33万円〜46万円+諸手当 ※年齢・経験・能力・前給等を考慮の上で決定いたします。 ※試用期間4ヶ…,450万円～700万円,https://tenshoku.mynavi.jp/jobinfo-268885-5-2-1/?ty=0&searchId=1275580536&pageNum=10&showNo=2
